trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-149.98113357102991,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-30.993511789323435,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-64.50179442534912,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-149.53228966025694,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-79.61888212745777,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-27.107053283542932,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-40.964657912675214,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,13,-0.27147471070381246,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-229.15768800627023,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-76.15616547417102,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-154.00207221561647,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-18.7898450361382,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-31.970776734720754,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-110.99195155526708,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-74.04933247272683,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-38.36696677698079,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,6,22.621541915373335,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,1,-89.10817566210729,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-15.87996593580235,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,-28.074077053464638,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,11,17.673555204025433,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,15.261497479673569,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,11,12.795769863191852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,20,11.957293123388332,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,13.71554799163756,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,9.610195901314604,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,-170.30627193811532,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-2.2213391036828547,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,24,12.628670545866154,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-57.57102789026661,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
