trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-222.33051685016173,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-58.71815729108795,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",25,2,-95.59310874139729,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-71.82620219913369,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-116.28464030326175,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",35,0,-277.52088046184844,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-142.40048987746633,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-11.912066535638909,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-144.57322506763967,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",20,0,-62.950931652488734,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-154.99752698176547,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",30,0,-179.39456934697785,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-92.69818746597394,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,9,-71.7801182131925,"{0: 6, 1: 0, 2: 2, 3: 3, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",30,0,-170.54493020728114,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
