trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",35,0,-66.87851359771498,"{0: 24, 1: 6, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.990025}",30,0,-154.11486508779058,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-83.42656266392156,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",20,0,-122.52349283783424,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",25,0,-121.03616170802093,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",25,0,-41.488294159406706,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",25,2,-36.45615960262914,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.960693043575437}",20,0,-162.58062315116138,"{0: 7, 1: 7, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",20,0,-89.03333597102633,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",30,0,-100.67715803488396,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,10,-30.02600084645249,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-45.09616858737308,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",30,0,-111.59371069163065,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",25,0,-153.80870825312562,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,0,-116.6235073610976,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",35,0,-67.52079940251986,"{0: 26, 1: 2, 2: 6, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.918316468354365}",20,0,-93.99413043839748,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",30,0,-172.85328122004574,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
