trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,2,-103.91530653929824,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.59953523582138,"{0: 10, 1: 3, 2: 7, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.594252253998668,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.9077332459947,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-225.17886759378987,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.62281769807853,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.97531106843543,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.87484317117006,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.7201993341185,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.63186209420863,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.77417674891883,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.95140138183245,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.71750347878117,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-207.05742273557354,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.44256598334428,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.903059922672,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,6,-70.47987476271453,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.2134293525907,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.47969530561542,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.6610915169111,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.09473322032196,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.2492418907974,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.7890398165879,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.980233251736,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.03307421047552,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-140.0882851137048,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.64438391670174,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.4595365277084,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.91748383176919,"{0: 12, 1: 2, 2: 2, 3: 4, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-225.54302993016083,"{0: 15, 1: 6, 2: 10, 3: 2, 4: 2}",0
